ID,City,MatchNumber,Team1,Team2,TossWinner,TossDecision,WinningTeam,WonBy,Margin,Player_of_Match
1304068,Mumbai,22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,Runs,23,S Dube
1304067,Mumbai,21,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,8,KS Williamson
1304065,Mumbai,19,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,Runs,44,Kuldeep Yadav
1304066,Mumbai,20,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,Runs,3,YS Chahal
1304064,Pune,18,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,7,Anuj Rawat
1304063,Mumbai,17,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,8,Abhishek Sharma
1304062,Mumbai,16,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,6,Shubman Gill
1304061,Mumbai,15,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,Wickets,6,Q de Kock
1304060,Pune,14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,5,PJ Cummins
1304059,Mumbai,13,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,4,KD Karthik
1304058,Mumbai,12,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,Runs,12,Avesh Khan
1304057,Mumbai,11,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,Runs,54,LS Livingstone
1304056,Pune,10,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,Runs,14,LH Ferguson
1304055,Mumbai,9,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Runs,23,JC Buttler
1304054,Mumbai,8,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6,UT Yadav
1304053,Mumbai,7,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,Wickets,6,E Lewis
1304052,Mumbai,6,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,3,PWH de Silva
1304051,Pune,5,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,Runs,61,SV Samson
1304050,Mumbai,4,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,5,Mohammed Shami
1304049,Mumbai,3,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,Wickets,5,OF Smith
1304048,Mumbai,2,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,4,Kuldeep Yadav
1304047,Mumbai,1,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6,UT Yadav
